LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
ID114477_ID116970,365,114477,116970,2.847067958,0.544257752,0.337465136,1.687325682,72.5,307.4080988,33.1958565,0,
ID116055_ID116357,365,116055,116357,11.88830127,0.320917046,0.68958832,3.447941599,47.5,309.859979,34.15353541,0,
ID116970_ID115102,365,116970,115102,10.23390194,0.381981847,0.639809407,3.199047036,77.5,306.0962183,32.38875343,0,
ID110714_ID112150,365,110714,112150,2.594151938,0.326948474,0.322127424,1.610637122,62.5,307.0189989,33.04809336,0,
ID117282_ID117908,365,117282,117908,4.686547315,0.43752907,0.432968697,2.164843485,112.5,308.4949549,23.83404308,0,
ID115721_ID117282,365,115721,117282,5.411569275,0.100695587,0.465255597,2.326277987,107.5,308.8047201,24.81993596,0,
ID116647_ID115721,365,116647,115721,3.781965954,4.25E-04,0.388945547,1.944727733,102.5,307.828965,26.64410262,0,
ID115102_ID114163,365,115102,114163,3.992787095,0.220667472,0.399639192,1.99819596,82.5,305.9487328,30.15824398,0,
ID118223_ID118828,365,118223,118828,7.821006857,0.60782104,0.559321262,2.796606311,127.5,306.4936356,21.3756676,0,
ID118828_ID118535,365,118828,118535,7.335223618,0.506813079,0.541672359,2.708361796,132.5,307.29011,21.58834822,0,
ID113043_ID112475,365,113043,112475,16.59791298,NaN,0.814810726,4.07405363,37.5,309.5775612,38.94144813,0,
ID114163_ID115422,365,114163,115422,1.076350287,0.139371629,0.207494606,1.03747303,87.5,307.037818,29.22226358,0,
ID112150_ID114477,365,112150,114477,0.243131652,0.24696647,0.098616764,0.493083818,67.5,307.9053562,32.81441876,0,
ID117908_ID117599,365,117908,117599,7.383433016,0.2128795,0.543449465,2.717247323,117.5,306.885079,22.47302427,0,
ID117599_ID118223,365,117599,118223,1.537404824,0.082374229,0.24798426,1.239921298,122.5,306.3571901,20.60346471,0,
ID119424_ID119978,365,119424,119978,0.798067571,0.361782661,0.178669255,0.893346277,147.5,309.7244475,19.19673898,0,
ID118535_ID119126,365,118535,119126,10.90257182,0.020866093,0.660380854,3.301904272,137.5,308.6124447,18.89429134,0,
ID114785_ID116647,365,114785,116647,1.200109011,0.11391435,0.219098974,1.095494871,97.5,307.5013373,28.12848668,0,
ID117285_ID117911,366,117285,117911,13.16474067,0.377373938,0.725664955,3.628324775,112.5,258.5631725,28.43497998,0,
ID115427_ID114788,366,115427,114788,1.641836597,0.362111224,0.256268344,1.281341718,92.5,259.7651518,31.72542167,0,
ID121273_ID119725,366,121273,119725,13.47422058,0.359579296,0.734144961,3.670724803,162.5,259.4425183,37.38206087,0,
ID114166_ID115427,366,114166,115427,6.302423662,0.526753032,0.502092568,2.510462838,87.5,261.0024595,31.9959655,0,
ID116967_ID115104,366,116967,115104,0.10260031,0.590087518,0.064062566,0.320312831,77.5,261.6188305,32.20930542,0,
ID114788_ID116651,366,114788,116651,6.056350587,0.121878194,0.492193075,2.460965377,97.5,258.9653938,30.11986967,0,
ID122033_ID121273,366,122033,121273,4.416714399,0.072654902,0.420319612,2.101598058,157.5,261.2583477,36.82795045,0,
ID110712_ID112147,366,110712,112147,0.014978256,0.161457064,0.024477137,0.122385686,62.5,263.7492383,30.09680381,0,
ID114473_ID116967,366,114473,116967,4.182862583,0.150744799,0.409040956,2.045204778,72.5,262.3916299,31.81871567,0,
ID119988_ID122033,366,119988,122033,5.886462806,0.153970822,0.485240675,2.426203373,152.5,260.9288693,34.62560879,0,
ID118539_ID119141,366,118539,119141,10.10434672,0.424923367,0.635746702,3.178733509,137.5,259.6263909,29.6282339,0,
ID118832_ID118539,366,118832,118539,7.289380898,0.525845846,0.53997707,2.699885349,132.5,258.7307557,28.49271552,0,
ID116651_ID115729,366,116651,115729,3.280869556,0.419034795,0.362263416,1.811317078,102.5,257.8686112,29.99548065,0,
ID119436_ID119988,366,119436,119988,1.024109655,0.270690027,0.202396606,1.011983031,147.5,260.7721555,33.01795732,0,
ID115729_ID117285,366,115729,117285,6.388624439,0.47892484,0.505514567,2.527572836,107.5,258.6745076,30.29256603,0,
ID115104_ID114166,366,115104,114166,0.442179527,0.02238947,0.132993162,0.664965809,82.5,261.9720667,31.86688596,0,
ID116356_ID111011,366,116356,111011,1.682094309,0.052958404,0.259391157,1.296955785,52.5,265.7629627,32.07755628,0,
ID116051_ID116356,366,116051,116356,3.86037928,NaN,0.392956958,1.964784792,47.5,267.1116513,32.96995189,0,
ID117604_ID118228,366,117604,118228,2.871704249,0.526604239,0.338922071,1.694610353,122.5,258.9529579,28.31851262,0,
ID112147_ID114473,366,112147,114473,1.684294466,0.269436372,0.259560742,1.297803709,67.5,263.4879035,30.70846817,0,
ID111011_ID110712,366,111011,110712,4.771929937,0.09454711,0.43689495,2.184474751,57.5,264.4911624,30.95628411,0,
ID119141_ID119436,366,119141,119436,5.040144987,0.229984468,0.449005345,2.245026723,142.5,260.1138639,31.86570992,0,
ID117911_ID117604,366,117911,117604,7.448306796,0.623294622,0.545831725,2.729158624,117.5,258.2278482,28.13291293,0,
ID118228_ID118832,366,118228,118832,3.711015778,0.431961124,0.385279939,1.926399693,127.5,258.1022451,28.19525483,0,
ID121538_ID120674,367,121538,120674,0.280883027,0.047476829,0.105996798,0.529983988,172.5,49.07320616,21.92560387,0,
ID117915_ID117603,367,117915,117603,0.930033727,0.098040688,0.192876513,0.964382563,117.5,43.55296731,29.15186795,0,
ID122027_ID119712,367,122027,119712,29.14950173,0.002171564,0.539902785,5.39902785,160,48.00502786,23.18256338,0,
ID119431_ID119984,367,119431,119984,3.110888967,0.478630641,0.352754247,1.763771234,147.5,48.19239666,29.49269738,0,
ID119140_ID119431,367,119140,119431,11.91193343,0.4101697,0.690273378,3.451366892,142.5,47.00358068,29.82756726,0,
ID120674_ID120998,367,120674,120998,18.5247194,0.19927357,0.860807049,4.304035247,177.5,51.26561668,22.64285706,0,
ID117603_ID118230,367,117603,118230,1.171081655,0.604123271,0.216433052,1.082165262,122.5,43.61033667,29.21504003,0,
ID118230_ID118838,367,118230,118838,15.68266498,0.045912069,0.792026893,3.960134465,127.5,44.02853286,31.68993327,0,
ID119712_ID121538,367,119712,121538,2.051150699,0.496776562,0.286436778,1.432183892,167.5,48.58140914,21.08297799,0,
ID115730_ID117287,367,115730,117287,7.636232066,NaN,0.552674663,2.763373313,107.5,44.11235903,31.10615516,0,
ID117287_ID117915,367,117287,117915,1.038228274,0.341110007,0.203786974,1.018934872,112.5,43.19072631,30.04310811,0,
ID118838_ID118542,367,118838,118542,4.115543642,0.399781798,0.405736054,2.028680271,132.5,45.26462824,33.01431102,0,
ID119984_ID122027,367,119984,122027,8.32985875,0.126661692,0.577229894,2.886149468,152.5,47.76523143,27.31798373,0,
ID118542_ID119140,367,118542,119140,9.417079927,0.234690004,0.613745222,3.068726108,137.5,45.69994972,30.91712394,0,
ID115731_ID117289,368,115731,117289,0.652607128,0.343784815,0.161568206,0.807841029,107.5,207.0983553,32.55272643,0,
ID117919_ID117609,368,117919,117609,0.135695948,0.167515414,0.073673862,0.368369309,117.5,208.0778828,32.97796984,0,
ID116659_ID115731,368,116659,115731,8.70842191,NaN,0.590200709,2.951003543,102.5,206.8567531,34.00392133,0,
ID117289_ID117919,368,117289,117919,1.795835311,0.592579747,0.26801756,1.3400878,112.5,207.3087404,32.74028683,0,
ID117609_ID118238,368,117609,118238,17.07535283,0.29706928,0.826446679,4.132233395,122.5,209.1531095,34.7700653,0,
ID117606_ID118229,369,117606,118229,1.439402122,0.443222034,0.239950172,1.199750858,122.5,308.7012469,29.0574713,0,
ID115433_ID114793,369,115433,114793,0.595191094,NaN,0.154297258,0.771486289,92.5,307.0080708,35.06755179,0,
ID114793_ID116655,369,114793,116655,9.091638841,0.188239482,0.603046892,3.015234459,97.5,307.4705287,33.36675759,0,
ID117917_ID117606,369,117917,117606,14.09756228,0.060501787,0.750934412,3.754672061,117.5,307.5899418,30.19526589,0,
ID116655_ID115732,369,116655,115732,5.734429397,0.548298836,0.478933373,2.394666865,102.5,307.0413905,32.92263635,0,
ID118229_ID118833,369,118229,118833,3.605160978,0.100283065,0.379745229,1.898726146,127.5,307.2098522,28.86859413,0,
ID115732_ID117288,369,115732,117288,8.409795308,0.488434506,0.579992942,2.899964708,107.5,306.1756445,32.56272038,0,
ID117288_ID117917,369,117288,117917,0.008185724,0.19777126,0.018094998,0.090474991,112.5,305.902749,31.11284806,0,
ID117918_ID117607,370,117918,117607,4.032854056,0.035527057,0.401639344,2.008196718,117.5,400.9380341,30.55950967,0,
ID118234_ID118835,370,118234,118835,1.745843471,0.523444788,0.26426074,1.321303701,127.5,400.1219996,31.75674669,0,
ID117607_ID118234,370,117607,118234,8.9514206,0.578918944,0.598378496,2.991892478,122.5,400.8804085,31.13376342,0,
ID118835_ID118537,370,118835,118537,11.95490532,0.025629981,0.691517326,3.457586632,132.5,400.3785743,29.38506231,0,
ID117290_ID117918,370,117290,117918,4.754326333,NaN,0.436088355,2.180441775,112.5,399.6039018,32.16319688,0,
ID115736_ID117292,371,115736,117292,2.816944284,0.450095833,0.335675098,1.67837549,107.5,64.7662132,35.77963451,0,
ID117922_ID117611,371,117922,117611,1.949343987,0.456497234,0.279237819,1.396189094,117.5,60.37376268,35.94013676,0,
ID116656_ID115736,371,116656,115736,8.234302863,NaN,0.5739095,2.869547501,102.5,64.81985206,34.66323897,0,
ID118244_ID118848,371,118244,118848,2.577130665,0.279769652,0.321068881,1.605344407,127.5,60.97954051,40.22737316,0,
ID117611_ID118244,371,117611,118244,12.29904583,0.073383157,0.70139991,3.506999549,122.5,61.24651677,38.19527695,0,
ID117292_ID117922,371,117292,117922,15.86392081,0.004961696,0.796590756,3.982953779,112.5,61.94634323,35.5347526,0,
ID118848_ID118550,371,118848,118550,5.47692247,0.260035392,0.468056512,2.340282562,132.5,59.49142773,39.67855218,0,
ID119728_ID121554,372,119728,121554,8.419972305,0.482296829,0.580343771,2.901718854,167.5,281.1253863,38.55506753,0,
ID114799_ID116661,372,114799,116661,3.28753646,0.298170886,0.362631298,1.813156491,97.5,284.1166752,35.90276904,0,
ID119440_ID119994,372,119440,119994,3.822262641,0.323848401,0.391012155,1.955060777,147.5,281.9336273,36.94885549,0,
