LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ¦Ã rate
,,,,,,,,,(frame),(frame),(frame),(?m),(?m),(?m),(?m),(?m/frame),(?m/frame),(?m/frame),(?m/frame),(?m/frame),(quality),(?m),(?m),,(?m/frame),,(rad/frame)
Track_5506,130,130,45,1,0,0,0,1,45.0,2.0,47.0,93.8525994140103,377.2889162657733,62.48410657572455,0.0,3.0624194627482715,6.854446068083623,0.7595736171800679,3.024866649971146,1.4655908865630187,19.28175147374471,137.2747574786409,93.8525994140103,0.6836843214136669,2.08561332031134,0.6810345041497589,1.1806212327464676
Track_5513,137,137,21,0,0,0,0,0,20.0,3.0,23.0,75.86219663633884,146.90048885905895,74.35787135184556,0.0,4.4405512117325685,9.700236970033854,0.18729908710822568,4.298366043579171,2.2223477808836716,18.427824792407808,88.81102423465134,75.86219663633884,0.854197970241849,3.793109831816942,0.8541979702418487,0.7273664580179441
Track_5535,159,159,26,0,0,0,0,0,25.0,2.0,27.0,45.09233706134376,381.76190968802126,72.00036496331312,0.0,2.9539147680626803,5.502089697673702,0.25936755835528164,2.978445744448068,1.2568220472736267,15.8618873999669,73.847869201567,48.84541720946017,0.6106112139575036,1.8036934824537505,0.6106112139575035,1.1171855549508025
Track_5536,160,160,33,1,0,0,0,1,33.0,0.0,33.0,61.42979832922754,152.92697373936628,80.32264420575024,0.0,3.332517542578556,9.370578560616698,0.7489927151905457,2.863021294182511,1.798963440521846,18.71522058140148,108.7164040217519,61.42979832922754,0.5650462676905383,1.8615090402796224,0.5585894197091813,0.9339096835598157
Track_5541,165,165,25,1,0,0,0,1,25.0,3.0,28.0,75.24482085913658,213.24838592321845,76.59586661419121,0.0,3.8004279466802457,7.195008549516649,1.0682365692905427,4.127870704513552,1.6354402908100636,14.016045207977294,95.49036565954152,75.24482085913658,0.7879833775839984,3.0097928343654634,0.7919615571174244,0.9572367040531745
Track_5542,166,166,21,1,0,0,0,1,21.0,0.0,21.0,64.01867432690203,100.84723724676303,89.85922013139668,0.0,3.954968513685752,7.1522219793836275,2.0502367914969795,3.9922448592028865,1.3118605992218433,17.51851483753749,82.77896863982288,64.01867432690203,0.7733688324319645,3.048508301281049,0.7708046955954281,0.7903623912258272
Track_5568,192,192,25,0,0,0,0,0,24.0,3.0,27.0,57.02126895324936,292.073062202365,110.41576131467424,0.0,3.245822505419568,6.400205164465296,0.1808294925074798,3.413687792658134,1.6323738242351826,14.46978515625,77.89974013006962,57.02126895324936,0.7319827878506481,2.37588620638539,0.7319827878506479,1.0401677462607406
Track_5571,195,195,22,1,0,0,0,1,22.0,2.0,24.0,64.77719321400821,73.36612468201862,105.46454018335517,0.0,3.5218826321917063,7.336711902640436,0.7682313200910874,3.1750116254023832,1.6781084420988894,18.07263400337913,77.30962820014497,65.22429007345374,0.8378929600632427,2.9444178733640096,0.8360352064122211,0.8954035126648421
Track_5572,196,196,52,1,0,0,0,1,52.0,1.0,53.0,112.31164540943757,364.3858290102922,106.70824115765753,0.0,2.9210350514995556,5.56757207328747,0.26486466561468347,2.99585457693089,1.3591056037739369,25.17253344792586,153.20343796055153,112.31164540943757,0.733088283817474,2.1598393347968763,0.7394089070201645,1.1325662410374062
Track_5574,198,198,35,1,0,0,0,1,35.0,2.0,37.0,42.36231378512786,90.64629238873118,106.1895642509172,0.0,2.833883180128142,7.653906437854112,0.3157979995694803,2.816233475739733,1.6138141074219146,17.597993550981794,99.76515583431573,45.44207040914557,0.4246203339318265,1.2103518224322245,0.4271001115781685,1.4107190528245024
