LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID117640,117640,7087,44.36736298,56.48761589,33.76429407,0,120,120,1.25,1,,70.62162162,27,3,255,2613,89.63269225,0.784514403,0.692758884
ID121704,121704,7087,27.46886635,59.27008596,31.77988639,0,125,125,1.25,1,,65.18918919,36,5,243,2412,64.81719501,0.674214136,0.810032029
ID113548,113548,7087,35.91730881,61.18654204,28.74198055,0,114,114,1.25,1,,69.40540541,40,5,255,2568,78.02295227,0.728974905,0.750109731
ID118988,118988,7087,9.004377365,55.82364669,35.00143476,0,122,122,1.25,1,,28.62162162,24,5,132,1059,25.9618859,0.401514595,0.631672116
ID112848,112848,7087,11.4634943,58.76341728,26.30936796,0,112,112,1.25,1,,31.40540541,29,5,111,1162,24.20911153,0.475720392,0.836379227
ID116953,116953,7087,40.31600189,58.81741197,32.44481498,0,119,119,1.25,1,,79.32432432,43,5,255,2935,83.12676199,0.619471672,0.730034877
ID120351,120351,7087,7.425141335,56.91495371,30.5168381,0,123,123,1.25,1,,27.64864865,20,5,99,1023,25.13763913,0.270106222,0.467814806
ID116320,116320,7096,11.94389343,239.8599975,37.31201135,0,115,115,1.25,1,,32.75675676,19,5,146,1212,36.05197283,0.492168441,0.599373818
ID112233,112233,7096,23.62387657,239.2662675,39.5337359,0,113,113,1.25,1,,50.40540541,22,5,255,1865,70.470427,0.650185566,0.563643814
ID113595,113595,7096,22.82991409,239.7291294,37.84224689,0,114,114,1.25,1,,48.67567568,8,5,255,1801,77.2183247,0.671275014,0.506377233
ID114957,114957,7096,10.77072239,239.7368039,38.09149027,0,116,116,1.25,1,,32.48648649,20,5,174,1202,39.30410045,0.447554904,0.511100321
ID114254,114254,7096,25.67771912,240.5944709,37.82366177,0,117,117,1.25,1,,56.10810811,6,5,255,2076,80.97111412,0.628140704,0.534675776
ID110128,110128,7097,10.27518845,452.9671001,44.715126,0,111,111,1.25,1,,46.78378378,45,6,107,1731,26.6313674,0.289327673,0.788421654
ID113635,113635,7097,8.823578835,452.2299925,44.43785471,0,114,114,1.25,1,,44.97297297,41,10,118,1664,28.19819388,0.175467916,0.476153783
ID115703,115703,7097,10.32034492,451.2433679,48.533507,0,118,118,1.25,1,,35.21621622,31,5,99,1303,26.48913313,0.264338177,0.555906281
ID116358,116358,7097,7.335538387,450.6782531,44.04186776,0,115,115,1.25,1,,43.18918919,41,5,95,1598,23.63476469,0.186813187,0.575279542
ID114294,114294,7097,7.202577591,450.7108086,44.12707864,0,117,117,1.25,1,,36.54054054,33,5,104,1352,24.04693858,0.188779477,0.482612592
ID112264,112264,7097,13.74543095,452.899781,44.19258804,0,113,113,1.25,1,,56.24324324,50,5,120,2081,30.88095908,0.277681449,0.791651156
ID110875,110875,7097,8.739628792,453.7406833,44.89598525,0,110,110,1.25,1,,43.02702703,40,8,116,1592,25.49235886,0.204189618,0.572400613
ID117036,117036,7097,9.676205635,448.6961939,44.89372963,0,119,119,1.25,1,,40.64864865,36,5,127,1504,27.53201794,0.244160529,0.5794782
ID114991,114991,7097,15.73688221,450.9585745,44.0958184,0,116,116,1.25,1,,51.40540541,52,5,137,1902,29.74377569,0.291745796,0.780674937
ID112958,112958,7097,8.176491737,452.7254749,44.5676282,0,112,112,1.25,1,,49.13513514,43,5,132,1818,28.49772131,0.309365903,0.814748246
ID113633,113633,7099,20.25595284,63.23548381,44.75775948,0,114,114,1.25,1,,42.2972973,17,5,196,1565,47.08140991,0.651190622,0.70860478
ID110161,110161,7099,9.44183445,66.764635,48.32157974,0,111,111,1.25,1,,34.45945946,29,5,90,1275,24.94838516,0.248736074,0.550255173
ID112275,112275,7099,18.61595726,63.29868301,45.93949358,0,113,113,1.25,1,,33,17,5,135,1221,38.13280885,0.632989691,0.670900836
ID116354,116354,7099,17.44975662,64.40730306,43.89418213,0,115,115,1.25,1,,44.89189189,29,5,255,1661,56.81880742,0.456319665,0.495128883
ID118375,118375,7099,14.2699585,61.87654717,45.02591668,0,121,121,1.25,1,,44.54054054,40,5,174,1648,40.89253844,0.530413249,0.75500018
ID117722,117722,7099,57.85412216,64.25343942,47.33425653,0,120,120,1.25,1,,101.4324324,59,5,255,3753,85.15102288,0.794131903,1.054521021
ID110893,110893,7099,13.14025593,69.19305124,50.6702711,0,110,110,1.25,1,,34.16216216,12,5,255,1264,51.90028554,0.654670852,0.520855179
ID112975,112975,7099,28.17017746,66.27928389,48.65170361,0,112,112,1.25,1,,68.10810811,55,5,247,2520,58.54475201,0.458782793,0.731740901
